,code,var_name
318,3365530,Hempseed Producer Price (LCU/tonne)
319,6935530,Cinnamon (cannella) Producer Price (LCU/tonne)
320,11255530,"Meat live weight, mule Producer Price (LCU/tonne)"
321,3075530,"Oil, stillingia Producer Price (LCU/tonne)"
322,3065530,Vegetable tallow Producer Price (LCU/tonne)
323,8005530,Agave fibres nes Producer Price (LCU/tonne)
324,8095530,Manila fibre (abaca) Producer Price (LCU/tonne)
325,2245530,Kola nuts Producer Price (LCU/tonne)
326,2255530,"Hazelnuts, with shell Producer Price (LCU/tonne)"
327,2235530,Pistachios Producer Price (LCU/tonne)
328,1355530,Yautia (cocoyam) Producer Price (LCU/tonne)
329,2545530,Oil palm fruit Producer Price (LCU/tonne)
330,7545530,"Pyrethrum, dried Producer Price (LCU/tonne)"
331,7025530,"Nutmeg, mace and cardamoms Producer Price (LCU/tonne)"
332,6985530,Cloves Producer Price (LCU/tonne)
333,6925530,Vanilla Producer Price (LCU/tonne)
334,5415530,"Fruit, stone nes Producer Price (LCU/tonne)"
335,5875530,Persimmons Producer Price (LCU/tonne)
336,5925530,Kiwi fruit Producer Price (LCU/tonne)
337,10855530,"Meat live weight, poultry, other Producer Price (LCU/tonne)"
338,11625530,"Meat live weight, camelids, other Producer Price (LCU/tonne)"
339,4305530,Okra Producer Price (LCU/tonne)
340,685530,Popcorn Producer Price (LCU/tonne)
341,220086109,Gross Domestic Product Value Local Currency
342,220086110,Gross Domestic Product Value US$
343,220086119,Gross Domestic Product Value US$ per capita
344,220086183,"Gross Domestic Product Value Local Currency, 2015 prices"
345,220086185,"Gross Domestic Product Value US$ per capita, 2015 prices"
346,220086184,"Gross Domestic Product Value US$, 2015 prices"
347,220086155,Gross Domestic Product Annual growth Local Currency
348,220086181,"Gross Domestic Product Annual growth Local Currency, 2015 prices"
349,220086129,Gross Domestic Product Annual growth US$
350,2200861290,Gross Domestic Product Annual growth US$ per capita
351,220086182,"Gross Domestic Product Annual growth US$, 2015 prices"
352,2200861820,"Gross Domestic Product Annual growth US$ per capita, 2015 prices"
353,220156109,Gross Fixed Capital Formation Value Local Currency
354,220156110,Gross Fixed Capital Formation Value US$
355,220156183,"Gross Fixed Capital Formation Value Local Currency, 2015 prices"
356,220156184,"Gross Fixed Capital Formation Value US$, 2015 prices"
357,220156103,Gross Fixed Capital Formation Share of GDP US$
358,220156187,"Gross Fixed Capital Formation Share of GDP US$, 2015 prices"
359,220156157,Gross Fixed Capital Formation Share of GDP Local Currency
360,220156186,"Gross Fixed Capital Formation Share of GDP Local Currency, 2015 prices"
361,220156155,Gross Fixed Capital Formation Annual growth Local Currency
362,220156181,"Gross Fixed Capital Formation Annual growth Local Currency, 2015 prices"
363,220156129,Gross Fixed Capital Formation Annual growth US$
364,220156182,"Gross Fixed Capital Formation Annual growth US$, 2015 prices"
365,220166109,"Value Added (Agriculture, Forestry and Fishing) Value Local Currency"
366,220166183,"Value Added (Agriculture, Forestry and Fishing) Value Local Currency, 2015 prices"
367,220166184,"Value Added (Agriculture, Forestry and Fishing) Value US$, 2015 prices"
368,220166103,"Value Added (Agriculture, Forestry and Fishing) Share of GDP US$"
369,220166187,"Value Added (Agriculture, Forestry and Fishing) Share of GDP US$, 2015 prices"
370,220166157,"Value Added (Agriculture, Forestry and Fishing) Share of GDP Local Currency"
371,220166186,"Value Added (Agriculture, Forestry and Fishing) Share of GDP Local Currency, 2015 prices"
372,220166155,"Value Added (Agriculture, Forestry and Fishing) Annual growth Local Currency"
373,220166181,"Value Added (Agriculture, Forestry and Fishing) Annual growth Local Currency, 2015 prices"
374,220756109,Value Added (Total Manufacturing) Value Local Currency
375,220756110,Value Added (Total Manufacturing) Value US$
376,220756183,"Value Added (Total Manufacturing) Value Local Currency, 2015 prices"
377,220756184,"Value Added (Total Manufacturing) Value US$, 2015 prices"
378,220756103,Value Added (Total Manufacturing) Share of GDP US$
379,220756187,"Value Added (Total Manufacturing) Share of GDP US$, 2015 prices"
380,220756157,Value Added (Total Manufacturing) Share of GDP Local Currency
381,220756186,"Value Added (Total Manufacturing) Share of GDP Local Currency, 2015 prices"
382,220756155,Value Added (Total Manufacturing) Annual growth Local Currency
383,220756181,"Value Added (Total Manufacturing) Annual growth Local Currency, 2015 prices"
384,220756129,Value Added (Total Manufacturing) Annual growth US$
385,220756182,"Value Added (Total Manufacturing) Annual growth US$, 2015 prices"
386,220756189,"Value Added (Total Manufacturing) Ratio of Value Added (Agriculture, Forestry and Fishing) Local Currency"
387,220756163,"Value Added (Total Manufacturing) Ratio of Value Added (Agriculture, Forestry and Fishing) US$"
388,220116109,Gross National Income Value Local Currency
389,220116110,Gross National Income Value US$
390,220116119,Gross National Income Value US$ per capita
391,220116155,Gross National Income Annual growth Local Currency
392,220116129,Gross National Income Annual growth US$
393,2201161290,Gross National Income Annual growth US$ per capita
394,220766109,"Value Added (Manufacture of food, beverages and tobacco products) Value Local Currency"
395,220766110,"Value Added (Manufacture of food, beverages and tobacco products) Value US$"
396,220766183,"Value Added (Manufacture of food, beverages and tobacco products) Value Local Currency, 2015 prices"
397,220766184,"Value Added (Manufacture of food, beverages and tobacco products) Value US$, 2015 prices"
398,220766103,"Value Added (Manufacture of food, beverages and tobacco products) Share of GDP US$"
399,220766187,"Value Added (Manufacture of food, beverages and tobacco products) Share of GDP US$, 2015 prices"
400,220766157,"Value Added (Manufacture of food, beverages and tobacco products) Share of GDP Local Currency"
401,220766186,"Value Added (Manufacture of food, beverages and tobacco products) Share of GDP Local Currency, 2015 prices"
402,220766155,"Value Added (Manufacture of food, beverages and tobacco products) Annual growth Local Currency"
403,220766129,"Value Added (Manufacture of food, beverages and tobacco products) Annual growth US$"
404,220766190,"Value Added (Manufacture of food, beverages and tobacco products) Share of Value Added (Total Manufacturing) Local Currency"
405,220766143,"Value Added (Manufacture of food, beverages and tobacco products) Share of Value Added (Total Manufacturing) US$"
406,220766189,"Value Added (Manufacture of food, beverages and tobacco products) Ratio of Value Added (Agriculture, Forestry and Fishing) Local Currency"
407,220766163,"Value Added (Manufacture of food, beverages and tobacco products) Ratio of Value Added (Agriculture, Forestry and Fishing) US$"
408,220776109,Value Added (Manufacture of food and beverages) Value Local Currency
409,220776110,Value Added (Manufacture of food and beverages) Value US$
410,220776183,"Value Added (Manufacture of food and beverages) Value Local Currency, 2015 prices"
411,220776184,"Value Added (Manufacture of food and beverages) Value US$, 2015 prices"
412,220776155,Value Added (Manufacture of food and beverages) Annual growth Local Currency
413,220776129,Value Added (Manufacture of food and beverages) Annual growth US$
414,220776190,Value Added (Manufacture of food and beverages) Share of Value Added (Total Manufacturing) Local Currency
415,220776143,Value Added (Manufacture of food and beverages) Share of Value Added (Total Manufacturing) US$
416,220776189,"Value Added (Manufacture of food and beverages) Ratio of Value Added (Agriculture, Forestry and Fishing) Local Currency"
417,220776163,"Value Added (Manufacture of food and beverages) Ratio of Value Added (Agriculture, Forestry and Fishing) US$"
418,220786109,Value Added (Manufacture of tobacco products) Value Local Currency
419,220786110,Value Added (Manufacture of tobacco products) Value US$
420,220786183,"Value Added (Manufacture of tobacco products) Value Local Currency, 2015 prices"
421,220786184,"Value Added (Manufacture of tobacco products) Value US$, 2015 prices"
422,220786155,Value Added (Manufacture of tobacco products) Annual growth Local Currency
423,220786129,Value Added (Manufacture of tobacco products) Annual growth US$
424,220786190,Value Added (Manufacture of tobacco products) Share of Value Added (Total Manufacturing) Local Currency
425,220786143,Value Added (Manufacture of tobacco products) Share of Value Added (Total Manufacturing) US$
426,220786189,"Value Added (Manufacture of tobacco products) Ratio of Value Added (Agriculture, Forestry and Fishing) Local Currency"
427,220786163,"Value Added (Manufacture of tobacco products) Ratio of Value Added (Agriculture, Forestry and Fishing) US$"
428,220716109,"Gross Output (Agriculture, Forestry and Fishing) Value Local Currency"
429,220716110,"Gross Output (Agriculture, Forestry and Fishing) Value US$"
430,220716155,"Gross Output (Agriculture, Forestry and Fishing) Annual growth Local Currency"
431,220716129,"Gross Output (Agriculture, Forestry and Fishing) Annual growth US$"
432,220106109,Value Added (Agriculture) Value Local Currency
433,220106110,Value Added (Agriculture) Value US$
434,220106183,"Value Added (Agriculture) Value Local Currency, 2015 prices"
435,220106184,"Value Added (Agriculture) Value US$, 2015 prices"
436,220106155,Value Added (Agriculture) Annual growth Local Currency
437,220106129,Value Added (Agriculture) Annual growth US$
438,220736109,Gross Output (Agriculture) Value Local Currency
439,220736110,Gross Output (Agriculture) Value US$
440,220736155,Gross Output (Agriculture) Annual growth Local Currency
441,220736129,Gross Output (Agriculture) Annual growth US$
442,220116103,Gross National Income Share of GDP US$
443,220116143,Gross National Income Share of Value Added (Total Manufacturing) US$
444,220116163,"Gross National Income Ratio of Value Added (Agriculture, Forestry and Fishing) US$"
445,220766182,"Value Added (Manufacture of food, beverages and tobacco products) Annual growth US$, 2015 prices"
446,220776182,"Value Added (Manufacture of food and beverages) Annual growth US$, 2015 prices"
447,220786182,"Value Added (Manufacture of tobacco products) Annual growth US$, 2015 prices"
448,220106103,Value Added (Agriculture) Share of GDP US$
449,220106182,"Value Added (Agriculture) Annual growth US$, 2015 prices"
450,2501511,Population Total Population - Both sexes
451,2901664,Grand Total Food supply (kcal/capita/day)
452,2901674,Grand Total Protein supply quantity (g/capita/day)
453,2901684,Grand Total Fat supply quantity (g/capita/day)
